question,expected,model,correct,repeated,hallucination,rouge1,bleu,semantic
Where is Nvidia Corporation headquartered?,"Santa Clara, California","Santa Clara, California",True,False,False,1.0,1.0,1.0
Who are the three founders of Nvidia Corporation?,"Jensen Huang, Chris Malachowsky, and Curtis Priem","Jensen Huang (who remains president and CEO), Chris Malachowsky, and Curtis Priem, it develops graphics processing units (GPUs), systems on chips (SoCs), and application programming interfaces (APIs)",False,False,False,0.4117647058823529,0.154815755519009,0.4078323543071747
In what year was Nvidia Corporation founded?,1993,1993,True,False,True,1.0,0.1778279410038923,1.0
"What software platform and API, developed with an investment of over a billion dollars, enabled GPUs to run massively parallel programs?",CUDA,CUDA,True,False,False,1.0,0.1778279410038923,1.0
"What group is Nvidia considered a part of, alongside companies like Microsoft, Apple, and Amazon?",The Big Tech group,Big Tech,True,False,True,0.6666666666666666,0.11633369384516798,0.8077418804168701
What was Nvidia's original primary market focus for its GPUs?,Video gaming,video gaming,True,False,False,1.0,0.316227766016838,1.0
"As of the first quarter of 2025, what percentage of the discrete desktop and laptop GPU market did Nvidia hold?",92%,92%,True,False,False,1.0,0.316227766016838,1.0
"As of 2025, what percentage of the market for GPUs used in training and deploying AI models did Nvidia control?",More than 80%,80%,True,False,True,0.5,0.11633369384516798,0.8476012349128723
What is the name of Nvidia's cloud gaming service?,GeForce Now,GeForce Now,True,False,False,1.0,0.316227766016838,1.0000001192092896
In what year did Nvidia become the seventh U.S. company to reach a US\$1 trillion valuation?,2023,2023,True,False,True,1.0,0.1778279410038923,1.0
"What financial group is Nvidia a part of, often cited for its strength, size, and market capitalization?","Bloomberg's ""Magnificent Seven""","Bloomberg's ""Magnificent Seven"", the seven biggest companies on the stock market in these regards.",True,False,False,0.4210526315789474,0.24941747177008258,0.735015332698822
Where did the three co-founders agree to start the company in late 1992?,At a Denny's roadside diner on Berryessa Road in East San Jose,Denny's roadside diner on Berryessa Road in East San Jose,True,False,True,0.9166666666666666,0.8337529180751805,0.9283487796783447
When did Jensen Huang officially join the startup and become the CEO?,February 17 (Huang's 30th birthday),February 17,False,False,True,0.5,0.015744053406497194,0.5455278754234314
What was the initial amount of money the company started with?,"\$40,000","$40,000",True,False,False,1.0,0.19180183554164504,0.9572551846504211
From which three venture capital firms did Nvidia receive \$20 million in funding?,"Sequoia Capital, Sutter Hill Ventures, and others","Sequoia Capital, Sutter Hill Ventures, and others",True,False,False,1.0,1.0,1.0
What competing company was the only other startup to survive the late 1990s graphics acceleration boom along with Nvidia?,ATI Technologies (later merged into AMD),ATI Technologies,True,False,True,0.5,0.015744053406497194,0.8018848299980164
